species_name,mean_diam,median_diam,sd_diam,range_diam
DENUDATA,4.175531914893617,3.125,1.818671745622427,2
DENUDATA,4.175531914893617,3.125,1.818671745622427,10
GRANDIFLORA,4.957608695652174,3,3.259246649813291,3
GRANDIFLORA,4.957608695652174,3,3.259246649813291,16
KEWENSIS X,3.811946902654867,3,1.4746863216140236,2
KEWENSIS X,3.811946902654867,3,1.4746863216140236,9
KOBUS,8.329747305834262,6,6.153759881537169,0
KOBUS,8.329747305834262,6,6.153759881537169,44
XX,3.2727586206896553,3,0.8702094454488363,0
XX,3.2727586206896553,3,0.8702094454488363,9
